JobID,ea3238ef-2ecf-489d-90d2-c89430f0b54e
date,avg
07/03/2021,25.2213134765625
07/06/2021,25.23548126220703
07/09/2021,24.001323699951172
07/12/2021,24.690099716186523
07/15/2021,25.21333885192871
07/18/2021,25.321611404418945
07/21/2021,25.329479217529297
07/24/2021,25.255062103271484
07/27/2021,24.827743530273438
07/30/2021,25.326139450073242
08/02/2021,25.38946533203125
08/05/2021,25.369714736938477
08/08/2021,25.37189292907715
08/11/2021,25.37385368347168
08/14/2021,25.354785919189453
08/17/2021,25.356246948242188
08/20/2021,25.331745147705078
08/23/2021,25.14333724975586
08/26/2021,25.372066497802734
08/29/2021,24.960840225219727
09/01/2021,25.34534454345703
09/04/2021,25.169416427612305
09/07/2021,25.053836822509766
09/10/2021,24.8983097076416
09/13/2021,25.175294876098633
09/16/2021,25.333919525146484
09/19/2021,24.297569274902344
